base_topology,circuit_family,logical_qubits,optimization_level,seeds,base_median,relabelled_median,base_min,base_max,relabelled_min,relabelled_max,absolute_shift,relative_shift,label_invariant,seed_ranges_overlap,systematic
line_27,qft,4,0,5,2.2,6.1,2.1,2.7,5.8,6.3,3.8999999999999995,2.7727272727272725,False,False,True
line_27,qft,8,0,5,2.9615384615384617,6.884615384615385,2.8846153846153846,3.230769230769231,6.6923076923076925,7.384615384615385,3.9230769230769234,2.324675324675325,False,False,True
line_27,qft,12,0,5,3.809523809523809,7.214285714285714,3.1904761904761907,4.071428571428571,6.4523809523809526,8.452380952380953,3.4047619047619055,1.8937500000000003,False,False,True
line_27,qft,16,0,5,3.931034482758621,8.120689655172415,3.8620689655172415,4.379310344827586,7.517241379310345,9.172413793103448,4.189655172413794,2.0657894736842106,False,False,True
line_27,qft,20,0,5,4.013513513513513,8.18918918918919,3.6486486486486487,4.5,6.9324324324324325,9.18918918918919,4.175675675675676,2.0404040404040407,False,False,True
line_27,qft,24,0,5,4.333333333333333,9.11111111111111,4.166666666666667,4.7444444444444445,8.433333333333334,9.544444444444444,4.777777777777778,2.1025641025641026,False,False,True
line_27,efficient_su2,4,1,5,2.125,2.125,2.125,2.25,2.0,2.125,0.0,1.0,True,True,False
line_27,efficient_su2,8,1,5,3.125,3.125,3.125,3.125,3.125,3.125,0.0,1.0,True,True,False
line_27,efficient_su2,12,1,5,3.4166666666666665,3.4166666666666665,3.4166666666666665,3.4166666666666665,3.4166666666666665,3.4166666666666665,0.0,1.0,True,True,False
line_27,efficient_su2,16,1,5,3.5625,3.5625,3.5625,3.5625,3.5625,3.5625,0.0,1.0,True,True,False
line_27,efficient_su2,20,1,5,3.65,3.85,3.65,3.65,3.85,3.85,0.20000000000000018,1.0547945205479452,False,False,True
line_27,efficient_su2,24,1,5,3.8958333333333335,3.875,3.8958333333333335,3.8958333333333335,3.875,3.875,0.02083333333333348,0.9946524064171123,False,False,True
line_27,ghz_chain,4,1,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True,True,False
line_27,ghz_chain,8,1,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True,True,False
line_27,ghz_chain,12,1,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True,True,False
line_27,ghz_chain,16,1,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True,True,False
line_27,ghz_chain,20,1,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True,True,False
line_27,ghz_chain,24,1,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True,True,False
line_27,ghz_star,4,1,5,2.0,2.0,2.0,2.0,1.6666666666666667,2.0,0.0,1.0,True,True,False
line_27,ghz_star,8,1,5,3.142857142857143,3.571428571428572,3.142857142857143,3.142857142857143,2.7142857142857144,4.0,0.42857142857142927,1.1363636363636367,False,True,False
line_27,ghz_star,12,1,5,3.4545454545454546,3.636363636363636,3.4545454545454546,3.4545454545454546,3.5454545454545454,4.0,0.1818181818181812,1.0526315789473681,False,False,True
line_27,ghz_star,16,1,5,3.6,5.533333333333333,3.6,3.6,4.933333333333334,5.533333333333333,1.9333333333333331,1.537037037037037,False,False,True
line_27,ghz_star,20,1,5,3.684210526315789,5.947368421052632,3.684210526315789,3.684210526315789,5.789473684210527,6.157894736842105,2.263157894736843,1.6142857142857145,False,False,True
line_27,ghz_star,24,1,5,3.739130434782609,6.130434782608695,3.739130434782609,3.739130434782609,6.130434782608695,6.173913043478261,2.3913043478260865,1.63953488372093,False,False,True
