circuit_family,logical_qubits,topology,optimization_level,n_seeds,min,max,median,spread,relative_spread,iqr,normalized_spread,zero_spread,stratum
qft,20,cairo_heavy_hex_27,1,5,2.9864864864864864,3.783783783783784,3.121621621621621,0.7972972972972978,1.2669683257918554,0.7702702702702706,0.25541125541125564,False,L1
qft,24,cairo_heavy_hex_27,1,5,3.744444444444445,4.166666666666667,4.0,0.42222222222222205,1.1127596439169138,0.09999999999999964,0.10555555555555551,False,L1
efficient_su2,4,line_27,1,5,2.125,2.25,2.125,0.125,1.0588235294117647,0.0,0.058823529411764705,False,L1
efficient_su2,8,line_27,1,5,3.125,3.125,3.125,0.0,1.0,0.0,0.0,True,L1
efficient_su2,12,line_27,1,5,3.4166666666666665,3.4166666666666665,3.4166666666666665,0.0,1.0,0.0,0.0,True,L1
efficient_su2,16,line_27,1,5,3.5625,3.5625,3.5625,0.0,1.0,0.0,0.0,True,L1
efficient_su2,20,line_27,1,5,3.65,3.65,3.65,0.0,1.0,0.0,0.0,True,L1
efficient_su2,24,line_27,1,5,3.8958333333333335,3.8958333333333335,3.8958333333333335,0.0,1.0,0.0,0.0,True,L1
ghz_chain,4,line_27,1,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L1
ghz_chain,8,line_27,1,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L1
ghz_chain,12,line_27,1,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L1
ghz_chain,16,line_27,1,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L1
ghz_chain,20,line_27,1,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L1
ghz_chain,24,line_27,1,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L1
ghz_star,4,line_27,1,5,2.0,2.0,2.0,0.0,1.0,0.0,0.0,True,L1
ghz_star,8,line_27,1,5,3.142857142857143,3.142857142857143,3.142857142857143,0.0,1.0,0.0,0.0,True,L1
ghz_star,12,line_27,1,5,3.4545454545454546,3.4545454545454546,3.4545454545454546,0.0,1.0,0.0,0.0,True,L1
ghz_star,16,line_27,1,5,3.6,3.6,3.6,0.0,1.0,0.0,0.0,True,L1
ghz_star,20,line_27,1,5,3.684210526315789,3.684210526315789,3.684210526315789,0.0,1.0,0.0,0.0,True,L1
ghz_star,24,line_27,1,5,3.739130434782609,3.739130434782609,3.739130434782609,0.0,1.0,0.0,0.0,True,L1
qft,4,line_27,1,5,1.9,1.9,1.9,0.0,1.0,0.0,0.0,True,L1
qft,8,line_27,1,5,2.423076923076923,2.6923076923076925,2.423076923076923,0.2692307692307696,1.1111111111111114,0.1923076923076925,0.11111111111111127,False,L1
qft,12,line_27,1,5,2.595238095238096,2.833333333333333,2.738095238095238,0.23809523809523725,1.0917431192660547,0.0952380952380949,0.08695652173913013,False,L1
qft,16,line_27,1,5,2.827586206896552,2.9827586206896552,2.862068965517241,0.1551724137931032,1.0548780487804876,0.10344827586206895,0.054216867469879436,False,L1
qft,20,line_27,1,5,2.851351351351352,3.0675675675675675,2.9054054054054053,0.21621621621621534,1.0758293838862556,0.1621621621621614,0.0744186046511625,False,L1
qft,24,line_27,1,5,2.811111111111111,3.088888888888889,2.966666666666667,0.2777777777777781,1.098814229249012,0.11111111111111116,0.09363295880149825,False,L1
efficient_su2,4,cairo_heavy_hex_27,3,5,2.125,2.125,2.125,0.0,1.0,0.0,0.0,True,L3
